name,height(cm),weight(Ibs),age,avg_score
Dylan Frittelli,188,179,33,71.013
Chez Reavie,175,160,42,71.039
Hayden Buckley,180,180,28,71.041
Doug Ghim,175,165,28,71.056
Peter Malnati,178,159,36,71.059
Sam Ryder,188,175,34,71.064
Michael Thompson,183,184,39,71.07
Scott Piercy,183,185,45,71.084
Kramer Hickok,180,178,32,71.087
Justin Lower,178,175,35,71.093
Austin Smotherman,180,155,30,71.106
Danny Willett,180,170,36,71.114
Stewart Cink,193,205,51,71.118
Adam Schenk,188,190,32,71.118
Sepp Straka,191,235,31,71.119
Jonathan Byrd,175,165,46,71.135
Kelly Kraft,183,175,35,71.144
Zach Johnson,180,164,48,71.174
Chad Ramey,183,190,31,71.208
Bill Haas,188,185,42,71.255
Francesco Molinari,173,159,41,71.263
Lucas Glover,188,195,44,71.27
Patton Kizzire,196,220,38,71.285
Andrew Novak,188,205,29,71.303
Brian Stuard,178,175,41,71.332
Henrik Norlander,193,210,37,71.365
Brice Garnett,180,175,40,71.376
Ben Kohles,188,170,34,71.385
Matt Wallace,185,187,34,71.4
Erik van Rooyen,191,194,34,71.453
S.Y. Noh,185,165,32,71.496
Scott Gutschewski,183,260,47,71.51
Charley Hoffman,183,200,47,71.51
Cameron Champ,183,175,28,71.527
Austin Cook,170,160,33,71.543
Kevin Tway,191,185,35,71.554
Chesson Hadley,193,175,36,71.565
Roger Sloan,188,175,37,71.569
Harry Higgs,188,235,32,71.606
Joseph Bramlett,193,195,36,71.619
Brandt Snedeker,185,185,43,71.691
Camilo Villegas,175,160,42,71.708
Paul Barjon,185,200,31,71.752
Jim Herman,183,170,46,71.791
Martin Trainer,185,175,33,71.841
David Skinns,180,180,42,71.907
Kevin Chappell,183,180,37,71.909
Sung Kang,173,165,36,71.923
Nick Watney,188,180,43,72.038
Jason Dufner,178,180,47,72.076
Wesley Bryan,183,175,34,72.093
Garrick Higgo,183,185,25,72.172
Richy Werenski,183,165,32,72.31
Jonas Blixt,178,164,40,72.679
Scottie Scheffler,191,200,27,68.629
Rory McIlroy,178,160,35,68.777
Viktor Hovland,178,165,26,69.123
Xander Schauffele,178,175,30,69.127
Patrick Cantlay,183,190,32,69.19
Tommy Fleetwood,180,168,33,69.248
Collin Morikawa,175,160,27,69.429
Max Homa,185,180,33,69.516
Rickie Fowler,175,150,35,69.576
Ludvig Åberg,191,190,24,69.603
Wyndham Clark,183,172,30,69.642
Justin Rose,191,195,43,69.693
Eric Cole,175,155,35,69.757
Russell Henley,183,180,35,69.759
Denny McCarthy,175,165,31,69.825
Sungjae Im,183,200,26,69.839
Tony Finau,193,200,34,69.933
Brian Harman,170,150,37,69.978
Jason Day,183,195,36,70.018
Keegan Bradley,191,190,37,70.05
Matt Fitzpatrick,178,155,29,70.079
Adam Scott,183,180,43,70.101
Andrew Putnam,185,170,35,70.118
Shane Lowry,185,216,37,70.132
Corey Conners,183,190,32,70.144
Jordan Spieth,185,175,30,70.15
Cam Davis,193,181,29,70.175
Hideki Matsuyama,180,198,32,70.181
Stephan Jaeger,175,170,34,70.185
J.T. Poston,188,165,30,70.202
Sahith Theegala,191,200,26,70.219
Si Woo Kim,180,182,28,70.229
Sam Burns,185,185,27,70.233
Byeong Hun An,188,240,32,70.244
Ben Griffin,185,185,28,70.286
Nick Taylor,183,170,36,70.309
Patrick Rodgers,188,185,31,70.321
Brendon Todd,191,180,38,70.321
Matt Kuchar,193,195,45,70.353
Adam Hadwin,173,165,36,70.36
Adam Schenk,188,190,32,70.368
Beau Hossler,185,195,29,70.398
Aaron Rai,180,168,29,70.398
Harris English,191,185,34,70.414
Chris Kirk,191,175,39,70.417
Alex Noren,180,165,41,70.422
Taylor Montgomery,191,215,29,70.424
J.J. Spaun,175,185,33,70.424
Akshay Bhatia,185,130,22,70.431
Adam Svensson,183,178,30,70.471
Maverick McNealy,185,170,28,70.509
Cameron Young,180,185,27,70.515
Justin Thomas,178,160,31,70.52
Kurt Kitayama,170,170,31,70.534
Gary Woodland,185,195,40,70.542
Alex Smalley,183,160,27,70.556
Sam Ryder,188,175,34,70.559
Taylor Moore,175,160,30,70.56
Mark Hubbard,183,175,35,70.561
Tom Hoge,185,175,35,70.567
